tiempo,paso,n_part
22.410027,0.021,50
22.430027,0.02,50
22.449026,0.019,50
22.470026,0.021,50
22.489025,0.019,50
22.509026,0.02,50
22.533026,0.024,50
22.551025,0.018,50
22.570024,0.019,50
22.589024,0.019,50
22.612024,0.023,50
22.630024,0.018,50
22.649023,0.019,50
22.670023,0.021,50
22.689022,0.019,50
22.710022,0.021,50
22.731022,0.021,50
22.750021,0.019,50
22.76902,0.019,50
22.78902,0.02,50
22.81102,0.022,50
22.830019,0.019,50
22.85002,0.02,2500
22.87102,0.021,2500
22.89802,0.027,2500
22.92602,0.028,2500
22.95102,0.025,2500
22.976019,0.025,2500
23.001019,0.025,2500
23.026018,0.025,2500
23.051018,0.025,2500
23.077017,0.026,2500
23.102016,0.025,2500
23.128016,0.026,2500
23.154015,0.026,2500
23.180014,0.026,2500
23.205013,0.025,2500
23.231012,0.026,2500
23.256012,0.025,2500
23.282011,0.026,2500
23.30701,0.025,2500
23.33201,0.025,2500
23.35901,0.027,2500
23.38501,0.026,2500
23.41001,0.025,2500
23.436008,0.026,2500
23.460009,0.024,2500
23.484009,0.024,2500
23.508009,0.024,2500
23.53101,0.023,2500
23.553009,0.022,2500
23.57601,0.023,2500
23.59601,0.02,2500
23.61901,0.023,0
23.636011,0.017,0
23.659012,0.023,0
23.67801,0.019,0
23.69701,0.019,0
23.71701,0.02,0
23.740011,0.023,0
23.757011,0.017,0
23.778011,0.021,0
23.798012,0.02,0
23.821012,0.023,0
23.838013,0.017,0
23.859013,0.021,0
23.878012,0.019,0
23.901012,0.023,0
23.918013,0.017,0
23.938013,0.02,0
23.958014,0.02,0
23.979013,0.021,0
23.998013,0.019,0
24.018013,0.02,0
24.038013,0.02,0
24.058014,0.02,0
24.077013,0.019,0
24.098013,0.021,0
24.121014,0.023,0
24.139013,0.018,0
24.159014,0.02,0
24.178013,0.019,0
24.199013,0.021,0
24.218012,0.019,0
24.238012,0.02,0
24.258013,0.02,0
24.278013,0.02,0
24.302013,0.024,0
24.318014,0.016,0
24.338015,0.02,0
24.358015,0.02,0
24.378016,0.02,0
24.398016,0.02,0
24.418016,0.02,0
24.439016,0.021,0
24.460016,0.021,0
24.478016,0.018,0
24.498016,0.02,0
24.518017,0.02,0
24.539017,0.021,0
24.560017,0.021,0
24.581017,0.021,0
24.599016,0.018,0
24.619017,0.02,0
24.639017,0.02,0
24.659018,0.02,0
24.680017,0.021,0
24.698017,0.018,0
24.718018,0.02,0
24.738018,0.02,0
24.758018,0.02,0
24.778019,0.02,0
24.797018,0.019,0
24.817019,0.02,0
24.84002,0.023,0
24.859018,0.019,0
24.880018,0.021,0
24.900019,0.02,0
24.92002,0.02,0
24.94102,0.021,0
24.959019,0.018,0
24.978018,0.019,0
24.998018,0.02,0
25.018019,0.02,0
25.03802,0.02,0
25.05902,0.021,0
25.078018,0.019,0
25.100018,0.022,0
25.118017,0.018,0
